Sample ID,Date,Common,Species,Fish #,Method,Site,Time capture,Fyke_Num,Wet mass (g),Total L (cm),Fork L (cm),Sex,Gut content,Gut fullness (1-5),Liver mass (g),Gonad mass (g),Tags,Tag ID VEMCO,Tag ID FLOY,MK10 ID,Surgeon,Assistant,Time under,Tag activated,Surgery start,Surgery done,Surgery time,Recovered,Released,Recovery time,Total handling time,lat,long,Waypoint,Net set,Total captured,Fin clip,Muscle,Liver,Whole,Pics,Subsistence,Notes
FH174,12/8/2017,Four horn sculpin,Myoxocephalus quadricornis,174,Fyke net,Fyke 1,23:00,28,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH176,12/8/2017,Four horn sculpin,Myoxocephalus quadricornis,176,Fyke net,Fyke 1,23:00,28,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH173,12/8/2017,Four horn sculpin,Myoxocephalus quadricornis,173,Fyke net,Fyke 1,23:00,28,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH177,12/8/2017,Four horn sculpin,Myoxocephalus quadricornis,177,Fyke net,Fyke 1,23:00,28,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH178,12/8/2017,Four horn sculpin,Myoxocephalus quadricornis,178,Fyke net,Fyke 1,23:00,28,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH179,12/8/2017,Four horn sculpin,Myoxocephalus quadricornis,179,Fyke net,Fyke 1,23:00,28,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH182,14/8/2017,Four horn sculpin,Myoxocephalus quadricornis,182,Fyke net,Fyke 3,10:15,31,1.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,
S56,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,56,Fyke net,Fyke 1 (river),12:45,33,21.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S55,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,55,Fyke net,Fyke 1 (river),12:45,33,33.1,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S54,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,54,Fyke net,Fyke 1 (river),12:45,33,34.9,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S53,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,53,Fyke net,Fyke 1 (river),12:45,33,38.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH195,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,195,Fyke net,Fyke 1,12:45,33,38.8,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S52,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,52,Fyke net,Fyke 1 (river),12:45,33,38.8,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH194,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,194,Fyke net,Fyke 1,12:45,33,39,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S57,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,57,Fyke net,Fyke 1 (river),12:45,33,40.1,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S51,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,51,Fyke net,Fyke 1 (river),12:45,33,53.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH206,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,206,Fyke net,Fyke 1,,34,79,20,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH207,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,207,Fyke net,Fyke 1,,34,82,20,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
S58,16/8/2017,Slimy sculpin,Cottus cognatus cognatus ,58,Fyke net,Fyke 1 (river),,34,118.5,21,,,,,,,V9,1623/1271569,,,Harri,,16:32,,16:37,16:42,,,16:51,,,,,,,,Y,,,,,,
FH184,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,184,Fyke net,Fyke 1,12:45,33,122.1,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH191,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,191,Fyke net,Fyke 1,12:45,33,131.7,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH192,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,192,Fyke net,Fyke 1,12:45,33,132.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH200,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,200,Fyke net,Fyke 1,,34,136.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH205,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,205,Fyke net,Fyke 1,,34,136.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH189,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,189,Fyke net,Fyke 1,12:45,33,136.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH188,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,188,Fyke net,Fyke 1,12:45,33,146,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH202,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,202,Fyke net,Fyke 1,,34,151.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH185,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,185,Fyke net,Fyke 1,12:45,33,162.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH203,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,203,Fyke net,Fyke 1,,34,166.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH199,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,199,Fyke net,Fyke 1,,34,166.7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH193,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,193,Fyke net,Fyke 1,12:45,33,169.6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH183,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,183,Fyke net,Fyke 1,12:45,33,191.7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH204,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,204,Fyke net,Fyke 1,,34,192.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH201,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,201,Fyke net,Fyke 1,,34,198.7,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,Y,,
FH198,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,198,Fyke net,Fyke 1,,34,199.7,26.5,,,,,,,V9,1622/1271568,,,Harri,,17:19,,17:25,17:29,,,17:57,,,,,,,,?,,,,?,,
FH186,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,186,Fyke net,Fyke 1,12:45,33,204.4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH187,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,187,Fyke net,Fyke 1,12:45,33,238.7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH190,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,190,Fyke net,Fyke 1,12:45,33,251.9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH196,16/8/2017,Four horn sculpin,Myoxocephalus quadricornis,196,Fyke net,Fyke 1,,34,264.8,29.5,,,,,,,V9,1620/1271566,,,Harri,,16:50,,16:56,17:02,,,17:15,,,,,,,,Y,,,,?,,
FH212,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,212,Fyke net,Fyke 1,0:45,35,17.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
S61,17/8/2017,Slimy sculpin,Cottus cognatus cognatus ,61,Fyke net,Fyke 1 (river),0:45,35,36.6,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
S60,17/8/2017,Slimy sculpin,Cottus cognatus cognatus ,60,Fyke net,Fyke 1 (river),0:45,35,48,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH219,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,219,Fyke net,Fyke 1,0:45,35,107,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH213,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,213,Fyke net,Fyke 1,0:45,35,110.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH209,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,209,Fyke net,Fyke 1,0:45,35,135.1,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH215,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,215,Fyke net,Fyke 1,0:45,35,159.9,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH218,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,218,Fyke net,Fyke 1,0:45,35,161.8,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH211,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,211,Fyke net,Fyke 1,0:45,35,164,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH220,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,220,Fyke net,Fyke 1,0:45,35,188.4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH216,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,216,Fyke net,Fyke 1,0:45,35,209.3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH214,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,214,Fyke net,Fyke 1,0:45,35,225.8,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH210,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,210,Fyke net,Fyke 1,0:45,35,232.5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH217,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,217,Fyke net,Fyke 1,0:45,35,235.9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH208,17/8/2017,Four horn sculpin,Myoxocephalus quadricornis,208,Fyke net,Fyke 1,0:45,35,240.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
S68,18/8/2017,Slimy sculpin,Cottus cognatus cognatus ,68,Fyke net,Fyke 1 (river),3:15,37,29.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
S67,18/8/2017,Slimy sculpin,Cottus cognatus cognatus ,67,Fyke net,Fyke 1 (river),3:15,37,42.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH228,18/8/2017,Four horn sculpin,Myoxocephalus quadricornis,228,Fyke net,Fyke 1,3:15,37,88.2,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH229,18/8/2017,Four horn sculpin,Myoxocephalus quadricornis,229,Fyke net,Fyke 1,3:15,37,99.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH230,18/8/2017,Four horn sculpin,Myoxocephalus quadricornis,230,Fyke net,Fyke 1,3:15,37,115.4,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH227,18/8/2017,Four horn sculpin,Myoxocephalus quadricornis,227,Fyke net,Fyke 1,3:15,37,123.7,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH231,18/8/2017,Four horn sculpin,Myoxocephalus quadricornis,231,Fyke net,Fyke 1,3:15,37,154.6,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH226,18/8/2017,Four horn sculpin,Myoxocephalus quadricornis,226,Fyke net,Fyke 1,3:15,37,155.8,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,"Don't think anything was taken, removed ""Y""s"
FH243,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,251,Fyke net,Fyke 1,3:45,38,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH244,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,252,Fyke net,Fyke 1,17:00,39,60.2,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH240,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,248,Fyke net,Fyke 1,3:45,38,128.6,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH241,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,249,Fyke net,Fyke 1,3:45,38,129.8,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH242,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,250,Fyke net,Fyke 1,3:45,38,134.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH238,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,238,Fyke net,Fyke 1,3:45,38,151.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,"Don't think anything was taken, removed ""Y""s"
FH239,19/8/2017,Four horn sculpin,Myoxocephalus quadricornis,239,Fyke net,Fyke 1,3:45,38,152.6,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH247,20/8/2017,Four horn sculpin,Myoxocephalus quadricornis,255,Fyke net small,Fyke 2 camp,9:30,40,27.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S72,20/8/2017,Slimy sculpin,Cottus cognatus cognatus ,78,Fyke net,Fyke 1,7:45,41,28.4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
FH248,20/8/2017,Four horn sculpin,Myoxocephalus quadricornis,256,Fyke net,Fyke 1,17:30,42,40.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
S73,20/8/2017,Slimy sculpin,Cottus cognatus cognatus ,79,Fyke net,Fyke 1,17:30,42,46.6,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
S69,20/8/2017,Slimy sculpin,Cottus cognatus cognatus ,75,Gill net,Fyke 2,19:45,43,79.1,19.1,,,,,,,V5,8683/1271507,,,Harri,,10:15,,10:19,10:24,,,11:22,,,,,,,,Y,,,,Y,,
FH246,20/8/2017,Four horn sculpin,Myoxocephalus quadricornis,254,Fyke net,Fyke 1,7:45,41,85.5,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,251 in pic
S70,20/8/2017,Slimy sculpin,Cottus cognatus cognatus ,76,Fyke net,Fyke 2,19:45,43,88.9,19.4,,,,,,,V5,8656/1271505,,,Harri,,10:25,,10:31,10:35,,,11:22,,,,,,,,Y,,,,Y,,
S71,20/8/2017,Slimy sculpin,Cottus cognatus cognatus ,77,Fyke net,Fyke 2,19:45,43,90.8,18.5,,,,,,,V5,8668/1271506,,,Harri,,10:35,,10:41,10:43,,,11:22,,,,,,,,Y,,,,Y,,
FH245,20/8/2017,Four horn sculpin,Myoxocephalus quadricornis,253,Fyke net,Fyke 1,7:45,41,179.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,250 in pic
FH250,21/8/2017,Four horn sculpin,Myoxocephalus quadricornis,258,Fyke net,Fyke 1,19:00,44,40,16,,,,,,,V5,8702/1271509,,,Matilde,,20:10,,20:15,20:24,,,20:41,,,,,,,,Y,,,,,,mass with tag
FH1,22/7/2017,Four horn sculpin,Myoxocephalus quadricornis,1,Fyke net,River Fyke 1,7:30,46,180,26,,,,,,,V9,1642/1271588,,,Nige,,,,,,~5m,,,~5m,,72?21.123',81?06.423',,21st July 2017,,,,,,,,
FH4,22/7/2017,Four horn sculpin,Myoxocephalus quadricornis,4,Fyke net,River Fyke 1,7:30,46,180,23.5,,,,,,,V9,1635/1271581,,,Nige,,,,,,,,,,7.5min,72?21.123',81?06.423',,,,,,,,,,
FH5,22/7/2017,Four horn sculpin,Myoxocephalus quadricornis,5,Fyke net,River Fyke 1,7:30,46,200,25,,,,,,,V9,1634/1271580,,,Harri,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH2,22/7/2017,Four horn sculpin,Myoxocephalus quadricornis,2,Fyke net,River Fyke 1,7:30,46,200,24.3,,,,,,,V9,1641/1271587,,,Nige,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH3,22/7/2017,Four horn sculpin,Myoxocephalus quadricornis,3,Fyke net,River Fyke 1,7:30,46,250,29,,,,,,,V9,1636/1271582,,,Harri,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
S80,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,86,Fyke net,Fyke 1,7:30,46,30.9,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S76,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,82,Fyke net,Fyke 1,7:30,46,34.9,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S81,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,87,Fyke net,Fyke 1,7:30,46,40.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S82,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,88,Fyke net,Fyke 1,7:30,46,50.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH252,22/8/2017,Four horn sculpin,Myoxocephalus quadricornis,260,Fyke net,Fyke 1,7:30,46,52,17.4,,,,,,,V9,1621/1271567,,,Bob,,09:45am,,09:49am,09:55am,,,10:27am,,,,,,,,Y,,,,Y,,released
S83,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,89,Fyke net,Fyke 1,7:30,46,68.2,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S77,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,83,Fyke net,Fyke 1,7:30,46,78.4,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S78,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,84,Fyke net,Fyke 1,7:30,46,84,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S79,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,85,Fyke net,Fyke 1,7:30,46,101.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S75,22/8/2017,Slimy sculpin,Cottus cognatus cognatus ,81,Gill net,Fyke 2,7:30,46,116.7,20.5,,,,,,,V9,1613/1271559,,,Bob,,9:57,,10:02,10:08,,,10:31,,,,,,,,Y,,,,Y,,mass with tag
FH16,24/7/2017,Four horn sculpin,Myoxocephalus quadricornis,16,Fyke net,Fyke 2 (camp),18:40,49,158,25.5,,,,,,,V9,1639/1271585,,,Harri,,20:12,20:12,20:17,20:24,,20:25,21:20,,,72.3567,81.0975,,24th July 2017,,,,,,,,
FH15,24/7/2017,Four horn sculpin,Myoxocephalus quadricornis,15,Fyke net,Fyke 2 (camp),18:40,49,162,24.2,,,,,,,V9,1638/1271584,,,Harri,,19:56,19:56,20:03,20:11,,20:12,21:20,,,72.3567,81.0975,,24th July 2017,,,,,,,,
FH17,24/7/2017,Four horn sculpin,Myoxocephalus quadricornis,17,Fyke net,Fyke 2 (camp),18:40,49,228,27.5,,,,,,,V9,1640/1271586,,,Rozenn,,20:28,20:28,20:38,20:46,,20:49,21:20,,,72.3567,81.0975,,24th July 2017,,,,,,,,
FH14,24/7/2017,Four horn sculpin,Myoxocephalus quadricornis,14,Fyke net,Fyke 2 (camp),18:40,49,275,29,,,,,,,V9,1637/1271583,,,Harri,,19:25,,19:44,19:53,,19:56,21:20,,,72.3567,81.0975,,24th July 2017,,,,,,,,
FH263,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,271,Fyke net,Fyke 1,21:00,52,62.7,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,released without sampling (Bob)
FH256,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,264,Fyke net,Fyke 1,8:30,51,110,22.5,,,,,,,V5,8768/1271512,,,Matilde,,10:20am,,10:26am,10:37am,,,10:44am,,,,,,,,y,,,,y,,V5
FH255,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,263,Fyke net,Fyke 1,8:30,51,123,23,,,,,,,V5,8787/1271513,,,Matilde,,10:04am,,10:09am,10:19am,,,10:26am,,,,,,,,y,,,,y,,V5
FH261,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,269,Fyke net,Fyke 1,21:30,52,142.5,23.5,,,,,,,V9,1615/1271561,,,Matilde,,21:52,,22:01,22:09,,,22:30,,,,,,,,y,,,,y,,V9
FH254,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,262,Fyke net,Fyke 1,8:30,51,146.2,23,,,,,,,V9,1618/1271564,,,Matilde,,9:42am,,9:48am,9:56am,,,10:07am,,,,,,,,y,,,,y,,V9
FH253,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,261,Fyke net,Fyke 1,8:30,51,154,24.5,,,,,,,V9,1616/1271562,,,Matilde,,9:20am,,9:27am,9:38am,,,9:58am,,,,,,,,y,,,,y,,V9
FH259,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,267,Fyke net,Fyke 1,8:30,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH260,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,268,Fyke net,Fyke 1,8:30,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH262,24/8/2017,Four horn sculpin,Myoxocephalus quadricornis,270,Fyke net,Fyke 1,21:00,52,,,,,,,,,V5,9440/1271554,,,Matilde,,22:11,,22:17,22:26,,,22:39,,,,,,,,y,,,,y,,
S15,26/7/2017,Slimy sculpin,Cottus cognatus cognatus ,15,Fyke net,Fyke 1 (river),21:20,56,50,15,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
S16,26/7/2017,Slimy sculpin,Cottus cognatus cognatus ,16,Fyke net,Fyke 1 (river),21:20,56,80,19,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
S14,26/7/2017,Slimy sculpin,Cottus cognatus cognatus ,14,Fyke net,Fyke 1 (river),21:20,56,90,17.8,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,already caught?
FH29,26/7/2017,Four horn sculpin,Myoxocephalus quadricornis,29,Fyke net,Fyke 1 (river),21:20,56,100,21,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH31,26/7/2017,Four horn sculpin,Myoxocephalus quadricornis,31,Fyke net,Fyke 1 (river),21:20,56,100,19.6,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH34,26/7/2017,Four horn sculpin,Myoxocephalus quadricornis,34,Fyke net,Fyke 1 (river),21:20,56,110,21.2,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH32,26/7/2017,Four horn sculpin,Myoxocephalus quadricornis,32,Fyke net,Fyke 1 (river),21:20,56,140,21.8,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH30,26/7/2017,Four horn sculpin,Myoxocephalus quadricornis,30,Fyke net,Fyke 1 (river),21:20,56,150,23.4,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH33,26/7/2017,Four horn sculpin,Myoxocephalus quadricornis,33,Fyke net,Fyke 1 (river),21:20,56,150,22.8,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH270,26/8/2017,Four horn sculpin,Myoxocephalus quadricornis,278,Fyke net,Fyke 1,21:00,56,40,16.5,,,,,,,V5,8834/1271517,,,Matilde,,9:47pm,,9:58pm,10:05pm,,,10:20pm,,,,,,,,Y,,,,Y,,
FH269,26/8/2017,Four horn sculpin,Myoxocephalus quadricornis,277,Fyke net,Fyke 1,9:40,55,57.3,17.4,,,15 krill,5,1.1,0.3,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,apathic in net
S88,26/8/2017,Slimy sculpin,Cottus cognatus cognatus ,94,Fyke net,fyke 1,21:00,56,80.4,17.7,,,,,,,V5,8848/1271518,,,Karine,,09:30pm,,09:33pm,09:42pm,,,10:22pm,,,,,,,,Y,,,,Y,,
FH268,26/8/2017,Four horn sculpin,Myoxocephalus quadricornis,276,Fyke net,Fyke 1,9:40,55,105.4,21.5,,,,,,,V9,1617/1271563,,,Matilde,,10:33am,,10:48am,10:55am,,,11:04am,,,,,,,,Y,,,,Y,,
FH63,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,47,Trap net,Fyke 2 (camp),22:40,57,165.4,26.2,,,,,,,,,,,,,,,,,,,,,,72.3567,81.0975,,,,,,,,,,
FH46,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,46,Fyke net,Fyke 1 (river),21:50,57,50,16,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
S17,27/7/2017,Slimy sculpin,Cottus cognatus cognatus ,17,Fyke net,Fyke 1 (river),21:50,57,100,22,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH43,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,43,Fyke net,Fyke 1 (river),21:50,57,100,22,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH41,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,41,Fyke net,Fyke 1 (river),21:50,57,100,21,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH36,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,36,Fyke net,Fyke 1 (river),10:19,58,100,20,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH40,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,40,Fyke net,Fyke 1 (river),21:50,57,150,26,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH44,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,44,Fyke net,Fyke 1 (river),21:50,57,150,26,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH45,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,45,Fyke net,Fyke 1 (river),21:50,57,150,25,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH35,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,35,Fyke net,Fyke 1 (river),10:19,58,150,23,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH39,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,39,Fyke net,Fyke 1 (river),21:50,57,200,29,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
FH38,27/7/2017,Four horn sculpin,Myoxocephalus quadricornis,38,Fyke net,Fyke 1 (river),10:19,58,200,26,,,,,,,,,,,,,,,,,,,,,,72?21.123',81?06.423',,,,,,,,,,
